method,cn2,distance,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_achieved_occlusion
A1_MASK_ULS,1e-14,500.0,0.1,320,1.0,1.0,1.0,0.0,0.7275107574804094,0.10016602200610306
A1_MASK_ULS,1e-14,500.0,0.2,320,1.0,1.0,1.0,0.0,0.6050168685576991,0.2001358983693713
A1_MASK_ULS,1e-14,500.0,0.3,320,1.0,1.0,1.0,0.0,0.5377730113180925,0.3001385080606429
A1_MASK_ULS,1e-14,500.0,0.4,320,0.996875,1.0,0.996875,0.003125,0.5342263392811953,0.40015850683703674
A1_MASK_ULS,1e-14,750.0,0.0,160,1.0,1.0,1.0,0.0,0.7944431851539587,0.0
A1_MASK_ULS,1e-14,750.0,0.1,160,1.0,1.0,1.0,0.0,0.7564899430783234,0.10012850377622706
A1_MASK_ULS,1e-14,750.0,0.2,160,1.0,1.0,1.0,0.0,0.6601490513567011,0.20015471572276855
A1_MASK_ULS,1e-14,750.0,0.3,160,1.0,1.0,1.0,0.0,0.5760583216094369,0.3001158252631658
A1_MASK_ULS,1e-14,750.0,0.4,160,1.0,1.0,1.0,0.0,0.5235677166686306,0.400122248599435
A1_MASK_ULS,1e-14,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.7578873474582801,0.0
A1_MASK_ULS,1e-14,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.672731702450647,0.10009792374261943
A1_MASK_ULS,1e-14,1000.0,0.2,320,0.9875,1.0,0.9875,0.0125,0.5510789881696546,0.2001077164649884
A1_MASK_ULS,1e-14,1000.0,0.3,320,0.984375,1.0,0.984375,0.015625,0.48439813214751143,0.300085459040561
A1_MASK_ULS,1e-14,1000.0,0.4,320,0.9875,1.0,0.9875,0.0125,0.4614164414666357,0.40008920855674235
A1_MASK_ULS,2.5e-14,250.0,0.0,160,1.0,1.0,1.0,0.0,0.8937430756426196,0.0
A1_MASK_ULS,2.5e-14,250.0,0.1,160,1.0,1.0,1.0,0.0,0.815451083646575,0.10016476621602013
A1_MASK_ULS,2.5e-14,250.0,0.2,160,1.0,1.0,1.0,0.0,0.6904079109372627,0.20022016082173666
A1_MASK_ULS,2.5e-14,250.0,0.3,160,1.0,1.0,1.0,0.0,0.6038722938379366,0.3002132203628675
A1_MASK_ULS,2.5e-14,250.0,0.4,160,1.0,1.0,1.0,0.0,0.5602686348372952,0.40016847600319216
A1_MASK_ULS,2.5e-14,500.0,0.0,320,1.0,1.0,1.0,0.0,0.6707557947975539,0.0
A1_MASK_ULS,2.5e-14,500.0,0.1,320,1.0,1.0,1.0,0.0,0.6558191992801994,0.10014012081902668
A1_MASK_ULS,2.5e-14,500.0,0.2,320,1.0,1.0,1.0,0.0,0.6300200255929894,0.2001609092059236
A1_MASK_ULS,2.5e-14,500.0,0.3,320,1.0,1.0,1.0,0.0,0.60444170411034,0.3001797535449886
A1_MASK_ULS,2.5e-14,500.0,0.4,320,0.984375,1.0,0.984375,0.015625,0.5773734710251883,0.40013968524680943
A1_MASK_ULS,2.5e-14,750.0,0.0,160,1.0,1.0,1.0,0.0,0.6417788780766926,0.0
A1_MASK_ULS,2.5e-14,750.0,0.1,160,1.0,1.0,1.0,0.0,0.6205927410645763,0.10010642965387481
A1_MASK_ULS,2.5e-14,750.0,0.2,160,1.0,1.0,1.0,0.0,0.5217503821291601,0.20009239406602952
